Company,Headquarters,Address,Sector
Agnico Eagle Mines Limited,"Toronto, Ontario, Canada","145 King Street East, Suite 400. Toronto, Ontario, M5C 2Y7",Materials
Agrium Inc.,"Calgary, Alberta, Canada","13131 Lake Fraser Drive S.E. Calgary, Alberta, T2J 7E8",Materials
Alimentation Couche-Tard Inc.,"Laval, Quebec, Canada","4204 Industriel Blvd. Laval, Quebec H7L 0E3",Consumer Staples
ARC Resources Ltd.,"Calgary, Alberta, Canada","1200, 308 - 4th Ave S.W. Calgary, Alberta T2P 0H7",Energy
Bank of Montreal,"Toronto, Ontario, Canada","1 First Canadian Place, 21st Floor, Toronto, Ontario M5X 1A1",Financials
Bank of Nova Scotia,"Toronto, Ontario, Canada","44 King St West, Toronto, Ontari,  M5H 1H1",Financials
Barrick Gold Corporation,"Toronto, Ontario, Canada","TD Canada Trust Tower, 161 Bay Street, Suite 3700,  P.O. Box 212,  Toronto, Ontario, M5J 2S1",Materials
BCE Inc.,"Montreal, Quebec, Canada","1 Carrefour Alexander Graham Bell, Building A, 4th Floor, Verdun, Quebec, H3E 3B3",Telecommunication Services
BlackBerry Limited,"Waterloo, Ontario, Canada","2200 University Ave. E,  Waterloo, Ontario, Canada, N2K 0A7",Information Technology
Bombardier Inc.,"Montreal, Quebec, Canada","800, boulevard René-Lévesque West, Montréal Québec H3B 1Y8",Industrials
Brookfield Asset Management Inc.,"Toronto, Ontario, Canada","Brookfield Place, Suite 300, 181 Bay Street, Toronto, Ontario M5J 2T3",Financials
Cameco Corporation,"Saskatoon, Saskatchewan, Canada","2121 11th St W, Saskatoon, Saskatchewan S7M 1J3, Canada",Energy
Canadian Imperial Bank of Commerce,"Toronto, Ontario, Canada","Commerce Court,  Toronto, Ontario,  M5L 1A2 ",Financials
Canadian National Railway Company,"Montreal, Quebec, Canada","935 de La Gauchetière Street West, Montreal, Quebec, H3B 2M9",Industrials
Canadian Natural Resources Limited,"Calgary, Alberta, Canada","2100, 855 - 2 Street S.W.  Calgary, Alberta, T2P 4J8 ",Energy
Canadian Pacific Railway Limited,"Calgary, Alberta, Canada","Ogden Dale Road S.E. Calgary, Alberta T2C 4X9",Industrials
"Canadian Tire Corporation, Limited","Toronto, Ontario, Canada","2180 Yonge Street, P.O. Box 770, Station K, Toronto, Ontario M4P 2V8",Consumer Discretionary
Cenovus Energy Inc.,"Calgary, Alberta, Canada","500 Centre St SE, Calgary, Alberta T2P 0M5, Canada",Energy
CGI Group Inc.,"Montreal, Quebec, Canada","1350 René-Lévesque Boulevard West 15th floor. Montreal, Quebec H3G 1T4",Information Technology
Constellation Software Inc.,"Toronto, Ontario, Canada","#1200 – 20 Adelaide Street East,  Toronto, Ontario, M5C 2T6",Information Technology
Crescent Point Energy Corp.,"Calgary, Alberta, Canada","Suite 2000, 585 8 Avenue S.W. Calgary, Alberta, T2P 1G1",Energy
Dollarama Inc.,"Montreal, Quebec, Canada","5805 Royalmount, Montréal, Quebec H4P 0A1, Canada",Consumer Discretionary
Eldorado Gold Corporation,"Vancouver, British Columbia, Canada","550 Burrard St, Vancouver, British Columbia V6C 2B5, Canada",Materials
Emera Incorporated,"Halifax, Nova Scotia, Canada","1223 Lower Water St, Halifax, Nova Scotia B3J 3S8, Canada",Utilities
Enbridge Inc.,"Calgary, Alberta, Canada","200, Fifth Avenue Place,  425 - 1st Street S.W. Calgary, Alberta, Canada T2P 3L8",Energy
Encana Corporation,"Calgary, Alberta, Canada","500 Centre Street SE, PO Box 2850,  Calgary, Alberta, T2P 2S5",Energy
First Quantum Minerals Ltd.,"Vancouver, British Columbia, Canada","543 Granville St, Vancouver, British Columbia, V6C 1X8, Canada",Materials
Fortis Inc.,"St. John's, Newfoundland and Labrador, Canada","Fortis Place, Suite 1100, 5 Springdale Street, St. John's, Newfoundland and Labrador  A1B 3T2",Utilities
Franco-Nevada Corporation,"Toronto, Ontario, Canada","Franco-Nevada Corporation 199 Bay Street, Suite 2000 P.O. Box 285 Commerce Court Postal Station Toronto Ontario M5L 1G9",Materials
George Weston Limited,"Toronto, Ontario, Canada","22 St Clair Ave E, Toronto, Ontario M4T 2S7, Canada",Consumer Staples
Gildan Activewear Inc.,"Montreal, Quebec, Canada","600 de Maisonneuve West,  Montréal Québec, H3A 3J2 Canada",Consumer Discretionary
Goldcorp Inc.,"Vancouver, British Columbia, Canada","666 Burrard St #3400, Vancouver, British Columbia V6C 2X8, Canada",Materials
Husky Energy Inc.,"Calgary, Alberta, Canada","Box 6525, Station ""D"", Calgary, Alberta, CANADA T2P 3G7",Energy
Imperial Oil Limited,"Calgary, Alberta, Canada","237 4 Ave SW, Calgary, Alberta T2P 3M9, Canada",Energy
Inter Pipeline Ltd.,"Calgary, Alberta, Canada","215 2 Ave SW #3200, Calgary, Alberta T2P 1M4, Canada",Energy
Kinross Gold Corporation,"Toronto, Ontario, Canada","25 York Street, 17th Floor,  Toronto, Ontario M5J 2V5 ",Materials
Loblaw Companies Limited,"Brampton, Ontario, Canada","1 President's Choice Circle, Brampton, Ontario, L6Y 5S5",Consumer Staples
Magna International Inc.,"Aurora, Ontario, Canada","337 Magna Dr, Aurora, Ontario L4G 7L6, Canada",Consumer Discretionary
Manulife Financial Corporation,"Toronto, Ontario, Canada","200 Bloor Street East, Toronto, Ontario, Canada M4W 1E5",Financials
Metro Inc.,"Montreal, Quebec, Canada","11 011, boul. Maurice-Duplessis, Montreal Quebec, H1C 1V6 ",Consumer Staples
National Bank of Canada,"Montreal, Quebec, Canada","600 de La Gauchetière West, 4th Floor, Montreal, Quebec H3B 4L2",Financials
Pembina Pipeline Corporation,"Calgary, Alberta, Canada","4000, 585 - 8th Avenue S.W. Calgary, Alberta T2P 1G1",Energy
Potash Corporation of Saskatchewan Inc.,"Saskatoon, Saskatchewan, Canada","122 - 1st Avenue South,  Saskatoon, Saskatchewan Canada, S7K 7G3 ",Materials
Power Corporation of Canada,"Montreal, Quebec, Canada","751 Victoria Square, Montréal, Québec, Canada H2Y 2J3",Financials
Restaurant Brands International Inc.,"Oakville, Ontario, Canada","226 Wyecroft Road, Oakville, Ontario, L6K 3X7",Consumer Discretionary
Rogers Communications Inc.,"Toronto, Ontario, Canada","333 Bloor Street East, 10th Floor, Toronto, Ontario, M4W 1G9",Telecommunication Services
Royal Bank of Canada,"Toronto, Ontario, Canada","200 Bay Street P.O. Box 1, Royal Bank, Plaza Toronto, Ontario M5J 2J5 Canada",Financials
Saputo Inc.,"Montreal, Quebec, Canada","6869 boul Métropolitain E, St-Léonard, Québec, H1P 1X8",Consumer Staples
Shaw Communications Inc.,"Calgary, Alberta, Canada","630 - 3rd Avenue S.W. Calgary, Alberta, T2P 4L4",Telecommunication Services
Silver Wheaton Corp.,"Vancouver, British Columbia, Canada","Suite 3500 - 1021 West Hastings Street, Vancouver, British Columbia, V6E 0C3",Materials
SNC-Lavalin Group Inc.,"Montreal, Quebec, Canada","455, boul. René-Lévesque ouest, Montréal, Québec, H2Z 1Z3",Industrials
Sun Life Financial Inc.,"Toronto, Ontario, Canada","150 King Street West, Toronto, Ontario, M5H 1J9",Financials
Suncor Energy Inc.,"Calgary, Alberta, Canada","150 - 6th Avenue S.W., P.O. Box 38, Calgary, Alberta, T2P3E3",Energy
Teck Resources Limited,"Vancouver, British Columbia, Canada","550 Burrard Street, Vancouver, British Columbia, V6C 0B3",Materials
Telus Corporation,"Vancouver, British Columbia, Canada","510 W. Georgia St. 23rd Floor, Vancouver, British Columbia, V6B 0M3",Telecommunication Services
Thomson Reuters Corporation,"New York, New York, United States of America","3 Times Square, New York, New York, 10036",Consumer Discretionary
Toronto-Dominion Bank,"Toronto, Ontario, Canada","Toronto-Dominion Centre, Toronto, Ontario, M5K 1A2",Financials
TransCanada Corporation,"Calgary, Alberta, Canada","450 - 1st Street SW, Calgary, Alberta, T2P 5H1",Energy
"Valeant Pharmaceuticals International, Inc.","Laval, Quebec, Canada","2150 St. Elzéar Blvd. West, Laval, Quebec, H7L 4A8",Health Care
Yamana Gold Inc.,"Toronto, Ontario, Canada","Royal Bank Plaza, North Tower, 200 Bay Street, Suite 2200, Toronto, ON, M5J 2J3",Materials
